assembly_accession,protein_id,query,query_id,label
GCA_000010525.1,BAF86817.1,MR_MLE_C,PF13378.6,muconate-cycloisomerase
GCA_000010525.1,BAF88269.1,MR_MLE_C,PF13378.6,L-alanine-DL-glutamate-epimerase
GCA_000010525.1,BAF88210.1,MR_MLE_C,PF13378.6,L-Ala-D/L-Glu-epimerase
GCA_000010525.1,BAF88347.1,MR_MLE_C,PF13378.6,conserved-hypothetical-protein
GCA_000010525.1,BAF86817.1,MR_MLE_N,PF02746.16,muconate-cycloisomerase
GCA_000010525.1,BAF88210.1,MR_MLE_N,PF02746.16,L-Ala-D/L-Glu-epimerase
GCA_000010525.1,BAF88269.1,MR_MLE_N,PF02746.16,L-alanine-DL-glutamate-epimerase
GCA_000010525.1,BAF90639.1,MscL,PF01741.18,large-conductance-mechanosensitive-channel
GCA_000010525.1,BAF86549.1,MS_channel,PF00924.18,conserved-hypothetical-transmembrane-protein-precursor
GCA_000010525.1,BAF88390.1,MS_channel,PF00924.18,Mechanosensitive-ion-channel
GCA_000010525.1,BAF87640.1,MS_channel,PF00924.18,putative-mechanosensitive-ion-channel-protein
GCA_000010525.1,BAF89962.1,MS_channel,PF00924.18,putative-integral-membrane-protein
GCA_000010525.1,BAF90338.1,MTHFR,PF02219.17,"5,10-methylenetetrahydrofolate-reductase"
GCA_000010525.1,BAF86903.1,MTS,PF05175.14,putative-O-methyltransferase
GCA_000010525.1,BAF90491.1,MTS,PF05175.14,modification-methylase
GCA_000010525.1,BAF90476.1,MTS,PF05175.14,ribosomal-protein-L11-methyltransferase
GCA_000010525.1,BAF86527.1,MTS,PF05175.14,cyclopropane-fatty-acyl-phospholipid-synthase
GCA_000010525.1,BAF87841.1,MTS,PF05175.14,putative-methylase
GCA_000010525.1,BAF89700.1,MTS,PF05175.14,putative-RNA-methyltransferase
GCA_000010525.1,BAF88389.1,MTS,PF05175.14,conserved-hypothetical-protein
GCA_000010525.1,BAF89787.1,MTS,PF05175.14,trans-aconitate-methyltransferase
GCA_000010525.1,BAF88604.1,MTS,PF05175.14,putative-methylase
GCA_000010525.1,BAF90337.1,MTS,PF05175.14,regulatory-protein
GCA_000010525.1,BAF88816.1,MTS,PF05175.14,putative-methyltransferase-transmembrane-protein
GCA_000010525.1,BAF87734.1,MttA_Hcf106,PF02416.16,twin-arginine-translocation-protein
GCA_000010525.1,BAF87735.1,MttA_Hcf106,PF02416.16,twin-arginine-translocation-protein
GCA_000010525.1,BAF90261.1,Mt_ATP-synt_B,PF05405.14,putative-Fo-ATP-synthase-B-chain
GCA_000010525.1,BAF88147.1,Mu-like_gpT,PF10124.9,Mu-like-prophage-major-head-subunit-gpT
GCA_000010525.1,BAF88145.1,Mu-like_Pro,PF10123.9,putative-prophage-MuSo2-protein
GCA_000010525.1,BAF88126.1,Mu-transpos_C,PF09299.11,transposase-protein-A
GCA_000010525.1,BAF86324.1,Multi_Drug_Res,PF00893.19,quaternary-ammonium-compound-resistance-protein
GCA_000010525.1,BAF89063.1,Multi_Drug_Res,PF00893.19,molecular-chaperone
GCA_000010525.1,BAF90558.1,MurB_C,PF02873.16,UDP-N-acetylenolpyruvoylglucosamine-reductase
GCA_000010525.1,BAF89910.1,MurJ,PF03023.14,putative-virulence-factor-MviN-like-protein
GCA_000010525.1,BAF90301.1,MurJ,PF03023.14,virulence-factor-transmembrane-protein
GCA_000010525.1,BAF90554.1,Mur_ligase,PF01225.25,UDP-N-acetylmuramate-alanine-ligase
GCA_000010525.1,BAF90541.1,Mur_ligase,PF01225.25,UDP-N-acetylmuramyl-tripeptide-synthetase
GCA_000010525.1,BAF90540.1,Mur_ligase,PF01225.25,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,-6-diaminopimelate-D-alanyl-D-alanyl-ligase"
GCA_000010525.1,BAF90541.1,Mur_ligase_C,PF02875.21,UDP-N-acetylmuramyl-tripeptide-synthetase
GCA_000010525.1,BAF90554.1,Mur_ligase_C,PF02875.21,UDP-N-acetylmuramate-alanine-ligase
GCA_000010525.1,BAF90540.1,Mur_ligase_C,PF02875.21,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,-6-diaminopimelate-D-alanyl-D-alanyl-ligase"
GCA_000010525.1,BAF86099.1,Mur_ligase_C,PF02875.21,UDP-N-acetylmuramoylalanine-D-glutamate-ligase-precursor
GCA_000010525.1,BAF90540.1,Mur_ligase_M,PF08245.12,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,-6-diaminopimelate-D-alanyl-D-alanyl-ligase"
GCA_000010525.1,BAF90541.1,Mur_ligase_M,PF08245.12,UDP-N-acetylmuramyl-tripeptide-synthetase
GCA_000010525.1,BAF86099.1,Mur_ligase_M,PF08245.12,UDP-N-acetylmuramoylalanine-D-glutamate-ligase-precursor
GCA_000010525.1,BAF90554.1,Mur_ligase_M,PF08245.12,UDP-N-acetylmuramate-alanine-ligase
GCA_000010525.1,BAF87023.1,Mur_ligase_M,PF08245.12,folylpolyglutamate-synthetase
GCA_000010525.1,BAF88391.1,MutL_C,PF08676.11,DNA-mismatch-repair-protein
GCA_000010525.1,BAF90712.1,MutS_I,PF01624.20,DNA-mismatch-repair-protein
GCA_000010525.1,BAF90712.1,MutS_II,PF05188.17,DNA-mismatch-repair-protein
GCA_000010525.1,BAF90712.1,MutS_III,PF05192.18,DNA-mismatch-repair-protein
GCA_000010525.1,BAF90712.1,MutS_IV,PF05190.18,DNA-mismatch-repair-protein
GCA_000010525.1,BAF90712.1,MutS_V,PF00488.21,DNA-mismatch-repair-protein
GCA_000010525.1,BAF86903.1,N6_Mtase,PF02384.16,putative-O-methyltransferase
GCA_000010525.1,BAF86451.1,N6_N4_Mtase,PF01555.18,putative-adenine-DNA-methyltransferase
GCA_000010525.1,BAF89256.1,N6_N4_Mtase,PF01555.18,DNA-methylase
GCA_000010525.1,BAF88167.1,N6_N4_Mtase,PF01555.18,site-specific-DNA-methyltransferase
GCA_000010525.1,BAF87672.1,NADH-G_4Fe-4S_3,PF10588.9,NADH-quinone-oxidoreductase-chain-G-protein
GCA_000010525.1,BAF89452.1,NADH-G_4Fe-4S_3,PF10588.9,formate-dehydrogenase-alpha-subunit
GCA_000010525.1,BAF87677.1,NADH5_C,PF06455.11,NADH-plastoquinone-oxidoreductase-chain-5-protein
GCA_000010525.1,BAF87673.1,NADHdh,PF00146.21,NADH-quinone-dehydrogenase-chain-H-protein
GCA_000010525.1,BAF90357.1,NADHdh,PF00146.21,NADH-dehydrogenase
GCA_000010525.1,BAF89451.1,NADH_4Fe-4S,PF10589.9,putative-NAD-dependent-formate-dehydrogenase-beta-subunit-protein
GCA_000010525.1,BAF87670.1,NADH_4Fe-4S,PF10589.9,NADH-quinone-oxidoreductase-F-subunit-protein
GCA_000010525.1,BAF86119.1,NADH_4Fe-4S,PF10589.9,NADH-dehydrogenase
GCA_000010525.1,BAF87672.1,NADH_dhqG_C,PF09326.11,NADH-quinone-oxidoreductase-chain-G-protein
GCA_000010525.1,BAF86678.1,NAD_binding_1,PF00175.21,putative-sulfite-reductase
GCA_000010525.1,BAF87172.1,NAD_binding_1,PF00175.21,iron-sulfur-cluster-binding-protein-2
GCA_000010525.1,BAF89518.1,NAD_binding_1,PF00175.21,FAD-binding-oxidoreductase
GCA_000010525.1,BAF87826.1,NAD_binding_1,PF00175.21,sulfite-reductase-alpha-subunit
GCA_000010525.1,BAF89423.1,NAD_binding_1,PF00175.21,oxidoreductase
GCA_000010525.1,BAF88801.1,NAD_binding_1,PF00175.21,ferredoxin-NADP(+)-reductase
GCA_000010525.1,BAF88749.1,NAD_binding_1,PF00175.21,globin
GCA_000010525.1,BAF87827.1,NAD_binding_1,PF00175.21,ferredoxin-NADP-reductase
GCA_000010525.1,BAF87370.1,NAD_binding_1,PF00175.21,2Fe-2S-iron-sulfur-cluster-binding-domain-protein
GCA_000010525.1,BAF86420.1,NAD_binding_10,PF13460.6,conserved-hypothetical-protein
GCA_000010525.1,BAF87014.1,NAD_binding_10,PF13460.6,NAD-dependent-epimerase
GCA_000010525.1,BAF89007.1,NAD_binding_10,PF13460.6,putative-NAD-dependent-epimerase
GCA_000010525.1,BAF86161.1,NAD_binding_10,PF13460.6,UDP-galactose-4-epimerase
GCA_000010525.1,BAF87960.1,NAD_binding_10,PF13460.6,putative-short-chain-dehydrogenase
GCA_000010525.1,BAF90369.1,NAD_binding_10,PF13460.6,putative-short-chain-dehydrogenase
GCA_000010525.1,BAF86813.1,NAD_binding_10,PF13460.6,putative-saccharopine-dehydrogenase
GCA_000010525.1,BAF89532.1,NAD_binding_10,PF13460.6,short-chain-dehydrogenase
GCA_000010525.1,BAF86303.1,NAD_binding_10,PF13460.6,acetoacetyl-CoA-reductase
GCA_000010525.1,BAF90377.1,NAD_binding_10,PF13460.6,short-chain-dehydrogenase
GCA_000010525.1,BAF89043.1,NAD_binding_10,PF13460.6,putative-short-chain-dehydrogenase-family-protein
GCA_000010525.1,BAF90311.1,NAD_binding_10,PF13460.6,3-oxoacyl-(acyl-carrier-protein)-reductase
GCA_000010525.1,BAF86575.1,NAD_binding_11,PF14833.6,3-hydroxyisobutyrate-dehydrogenase
GCA_000010525.1,BAF89488.1,NAD_binding_11,PF14833.6,2-hydroxy-3-oxopropionate-reductase
GCA_000010525.1,BAF88775.1,NAD_binding_11,PF14833.6,oxidoreductase
GCA_000010525.1,BAF88903.1,NAD_binding_11,PF14833.6,putative-3-hydroxyisobutyrate-dehydrogenase
GCA_000010525.1,BAF87890.1,NAD_binding_11,PF14833.6,3-hydroxyisobutyrate-dehydrogenase
GCA_000010525.1,BAF88608.1,NAD_binding_11,PF14833.6,3-hydroxyacyl-CoA-dehydrogenase
GCA_000010525.1,BAF87411.1,NAD_binding_11,PF14833.6,putative-dehydrogenase
GCA_000010525.1,BAF89488.1,NAD_binding_2,PF03446.15,2-hydroxy-3-oxopropionate-reductase
GCA_000010525.1,BAF86575.1,NAD_binding_2,PF03446.15,3-hydroxyisobutyrate-dehydrogenase
GCA_000010525.1,BAF87890.1,NAD_binding_2,PF03446.15,3-hydroxyisobutyrate-dehydrogenase
GCA_000010525.1,BAF88903.1,NAD_binding_2,PF03446.15,putative-3-hydroxyisobutyrate-dehydrogenase
GCA_000010525.1,BAF88775.1,NAD_binding_2,PF03446.15,oxidoreductase
GCA_000010525.1,BAF88608.1,NAD_binding_2,PF03446.15,3-hydroxyacyl-CoA-dehydrogenase
GCA_000010525.1,BAF87411.1,NAD_binding_2,PF03446.15,putative-dehydrogenase
GCA_000010525.1,BAF89354.1,NAD_binding_2,PF03446.15,putative-dehydrogenase
GCA_000010525.1,BAF90616.1,NAD_binding_2,PF03446.15,cyclohexadienyl-dehydrogenase
GCA_000010525.1,BAF89357.1,NAD_binding_2,PF03446.15,putative-2-hydroxyacid-dehydrogenase
GCA_000010525.1,BAF86261.1,NAD_binding_2,PF03446.15,glycerol-3-phosphate-dehydrogenase-(NAD(P)+)-precursor
GCA_000010525.1,BAF89463.1,NAD_binding_2,PF03446.15,putative-dehydrogenase
GCA_000010525.1,BAF89023.1,NAD_binding_2,PF03446.15,D-3-phosphoglycerate-dehydrogenase
GCA_000010525.1,BAF86177.1,NAD_binding_2,PF03446.15,D-isomer-specific-2-hydroxyacid-dehydrogenase
GCA_000010525.1,BAF89210.1,NAD_binding_2,PF03446.15,3-hydroxybutyryl-CoA-dehydrogenase
GCA_000010525.1,BAF86234.1,NAD_binding_2,PF03446.15,putative-dehydrogenase
GCA_000010525.1,BAF90205.1,NAD_binding_2,PF03446.15,putative-glycerate-dehydrogenase
GCA_000010525.1,BAF90662.1,NAD_binding_2,PF03446.15,3-hydroxybutyryl-CoA-dehydrogenase
GCA_000010525.1,BAF86756.1,NAD_binding_2,PF03446.15,D-isomer-specific-2-hydroxyacid-dehydrogenase
GCA_000010525.1,BAF88617.1,NAD_binding_2,PF03446.15,D-isomer-specific-2-hydroxyacid-dehydrogenase
GCA_000010525.1,BAF88971.1,NAD_binding_2,PF03446.15,putative-3-hydroxyacyl-CoA-dehydrogenase
GCA_000010525.1,BAF87846.1,NAD_binding_3,PF03447.16,homoserine-dehydrogenase
GCA_000010525.1,BAF90386.1,NAD_binding_3,PF03447.16,putative-L-aspartate-dehydrogenase
GCA_000010525.1,BAF90369.1,NAD_binding_4,PF07993.12,putative-short-chain-dehydrogenase
GCA_000010525.1,BAF88259.1,NAD_binding_4,PF07993.12,UDP-glucuronate-5'-epimerase
GCA_000010525.1,BAF87831.1,NAD_binding_4,PF07993.12,"dTDP-D-glucose-4,6-dehydratase"
GCA_000010525.1,BAF87569.1,NAD_binding_4,PF07993.12,NAD-dependent-epimerase/dehydratase-family-protein
GCA_000010525.1,BAF86051.1,NAD_binding_4,PF07993.12,GDP-6-deoxy-D-lyxo-4-hexulose-reductase
GCA_000010525.1,BAF87014.1,NAD_binding_4,PF07993.12,NAD-dependent-epimerase
GCA_000010525.1,BAF87520.1,NAD_binding_4,PF07993.12,NAD-dependent-epimerase
GCA_000010525.1,BAF89747.1,NAD_binding_4,PF07993.12,putative-UDP-glucose-4-epimerase
GCA_000010525.1,BAF89477.1,NAD_binding_4,PF07993.12,"CDP-glucose-4,6-dehydratase"
GCA_000010525.1,BAF86161.1,NAD_binding_4,PF07993.12,UDP-galactose-4-epimerase
GCA_000010525.1,BAF87830.1,NAD_binding_4,PF07993.12,dTDP-4-dehydrorhamnose-reductase
GCA_000010525.1,BAF87960.1,NAD_binding_4,PF07993.12,putative-short-chain-dehydrogenase
GCA_000010525.1,BAF86232.1,NAD_binding_7,PF13241.6,uroporphyrin-III-C-methyltransferase
GCA_000010525.1,BAF89080.1,NAD_binding_7,PF13241.6,putative-TRK-system-potassium-uptake-protein
GCA_000010525.1,BAF86459.1,NAD_binding_7,PF13241.6,small-subunit-1-glutamate-synthase
GCA_000010525.1,BAF88434.1,NAD_binding_8,PF13450.6,amine-oxidase
GCA_000010525.1,BAF89403.1,NAD_binding_8,PF13450.6,flavin-containing-protein
GCA_000010525.1,BAF90482.1,NAD_binding_8,PF13450.6,amine-oxidase-precursor
GCA_000010525.1,BAF86459.1,NAD_binding_8,PF13450.6,small-subunit-1-glutamate-synthase
GCA_000010525.1,BAF90449.1,NAD_binding_8,PF13450.6,conserved-hypothetical-protein
GCA_000010525.1,BAF87235.1,NAD_binding_8,PF13450.6,opine-oxidase-subunit-A
GCA_000010525.1,BAF89493.1,NAD_binding_8,PF13450.6,electrotransfer-ubiquinone-oxidoreductase-protein
GCA_000010525.1,BAF90007.1,NAD_binding_8,PF13450.6,dihydrolipoamide-dehydrogenase
GCA_000010525.1,BAF86064.1,NAD_binding_8,PF13450.6,putative-flavoprotein-involved-in-K+-transport
GCA_000010525.1,BAF87094.1,NAD_binding_8,PF13450.6,FAD-dependent-oxidoreductase
GCA_000010525.1,BAF87494.1,NAD_binding_8,PF13450.6,sarcosine-oxidase-beta-subunit
GCA_000010525.1,BAF87170.1,NAD_binding_8,PF13450.6,sarcosine-oxidase-beta-subunit
GCA_000010525.1,BAF87174.1,NAD_binding_8,PF13450.6,FMN-oxidoreductase
GCA_000010525.1,BAF88064.1,NAD_binding_8,PF13450.6,D-amino-acid-dehydrogenase-small-subunit
GCA_000010525.1,BAF88103.1,NAD_binding_8,PF13450.6,fumarate-reductase
GCA_000010525.1,BAF89552.1,NAD_binding_8,PF13450.6,putative-glycine-oxidase-precursor
GCA_000010525.1,BAF87744.1,NAD_binding_8,PF13450.6,dihydrolipoamide-dehydrogenase
GCA_000010525.1,BAF88681.1,NAD_binding_8,PF13450.6,FAD-dependent-pyridine-nucleotide-disulphide-oxidoreductase
GCA_000010525.1,BAF86997.1,NAD_binding_8,PF13450.6,conserved-hypothetical-protein
GCA_000010525.1,BAF86818.1,NAD_binding_8,PF13450.6,FAD-dependent-oxidoreductase
GCA_000010525.1,BAF87168.1,NAD_binding_8,PF13450.6,sarcosine-oxidase-alpha-subunit
GCA_000010525.1,BAF87236.1,NAD_binding_8,PF13450.6,putative-sarcosine-oxidase-beta-subunit
GCA_000010525.1,BAF88117.1,NAD_binding_8,PF13450.6,FAD-dependent-monooxygenase
GCA_000010525.1,BAF86193.1,NAD_binding_8,PF13450.6,conserved-hypothetical-protein
GCA_000010525.1,BAF87341.1,NAD_binding_8,PF13450.6,FAD-dependent-monooxygenase
GCA_000010525.1,BAF88067.1,NAD_binding_8,PF13450.6,FAD-dependent-oxidoreductase
GCA_000010525.1,BAF90439.1,NAD_binding_8,PF13450.6,conserved-hypothetical-protein
GCA_000010525.1,BAF87492.1,NAD_binding_8,PF13450.6,sarcosine-oxidase-alpha-subunit
GCA_000010525.1,BAF88022.1,NAD_binding_8,PF13450.6,putative-glycine/D-amino-acid-oxidases
GCA_000010525.1,BAF89447.1,NAD_binding_8,PF13450.6,protein-fixC
GCA_000010525.1,BAF88032.1,NAD_binding_8,PF13450.6,putative-oxidoreductase
GCA_000010525.1,BAF89541.1,NAD_binding_8,PF13450.6,putative-salicylate-hydroxylase
GCA_000010525.1,BAF86802.1,NAD_binding_8,PF13450.6,NADH-dehydrogenase-protein
GCA_000010525.1,BAF89046.1,NAD_binding_8,PF13450.6,putative-FAD-dependent-oxidoreductase
GCA_000010525.1,BAF87451.1,NAD_binding_8,PF13450.6,shikimate-dehydrogenase-family-protein
GCA_000010525.1,BAF88087.1,NAD_binding_8,PF13450.6,uncharacterized-protein-AZC_2089
GCA_000010525.1,BAF87848.1,NAD_binding_8,PF13450.6,putative-monooxygenase
GCA_000010525.1,BAF88950.1,NAD_binding_8,PF13450.6,putative-D-amino-acid-dehydrogenase
GCA_000010525.1,BAF89770.1,NAD_binding_8,PF13450.6,oxidoreductase
GCA_000010525.1,BAF88087.1,NAD_binding_9,PF13454.6,uncharacterized-protein-AZC_2089
GCA_000010525.1,BAF87958.1,NAD_binding_9,PF13454.6,oxidoreductase
GCA_000010525.1,BAF89770.1,NAD_binding_9,PF13454.6,oxidoreductase
GCA_000010525.1,BAF87372.1,NAD_binding_9,PF13454.6,flavin-containing-monooxygenase
GCA_000010525.1,BAF86193.1,NAD_binding_9,PF13454.6,conserved-hypothetical-protein
GCA_000010525.1,BAF90173.1,NAD_binding_9,PF13454.6,FAD-dependent-oxidoreductase
GCA_000010525.1,BAF86802.1,NAD_binding_9,PF13454.6,NADH-dehydrogenase-protein
GCA_000010525.1,BAF88067.1,NAD_binding_9,PF13454.6,FAD-dependent-oxidoreductase
GCA_000010525.1,BAF89245.1,NAD_binding_9,PF13454.6,L-lysine-6-monooxygenase-protein
GCA_000010525.1,BAF87146.1,NAD_binding_9,PF13454.6,thioredoxin-reductase
GCA_000010525.1,BAF86261.1,NAD_Gly3P_dh_C,PF07479.14,glycerol-3-phosphate-dehydrogenase-(NAD(P)+)-precursor
GCA_000010525.1,BAF86261.1,NAD_Gly3P_dh_N,PF01210.23,glycerol-3-phosphate-dehydrogenase-(NAD(P)+)-precursor
GCA_000010525.1,BAF86951.1,NAD_kinase,PF01513.21,putative-sugar-kinase
GCA_000010525.1,BAF87908.1,NAD_kinase,PF01513.21,ATP-NAD/AcoX-kinase
GCA_000010525.1,BAF86911.1,NAD_synthase,PF02540.17,NAD+-synthase
GCA_000010525.1,BAF89703.1,NAD_synthase,PF02540.17,putative-GMP-synthase
GCA_000010525.1,BAF90348.1,NAD_synthase,PF02540.17,TRNA-(5-methylaminomethyl-2-thiouridylate)-methyltransferase
GCA_000010525.1,BAF89375.1,NAPRTase,PF04095.16,nicotinate-phosphoribosyltransferase
GCA_000010525.1,BAF89375.1,NAPRTase_N,PF17767.1,nicotinate-phosphoribosyltransferase
GCA_000010525.1,BAF87205.1,Na_Ca_ex,PF01699.24,Ca2+/H+-antiporter
GCA_000010525.1,BAF89034.1,Na_Ca_ex,PF01699.24,putative-Ca2+/H+-antiporter
GCA_000010525.1,BAF87180.1,Na_H_antiporter,PF03553.14,H+/citrate-symporter
GCA_000010525.1,BAF87324.1,Na_H_antiport_1,PF06965.12,Na+/H+-antiporter-protein
GCA_000010525.1,BAF90054.1,Na_H_Exchanger,PF00999.21,potassium-efflux-system-protein
GCA_000010525.1,BAF88960.1,Na_H_Exchanger,PF00999.21,potassium-efflux-system-protein
GCA_000010525.1,BAF87570.1,Na_H_Exchanger,PF00999.21,putative-Na+/H+-antiporter-precursor
GCA_000010525.1,BAF87345.1,Na_H_Exchanger,PF00999.21,Na+/H+-antiporter-protein
GCA_000010525.1,BAF88288.1,Na_Pi_cotrans,PF02690.15,putative-Na+/phosphate-symporter
GCA_000010525.1,BAF90212.1,Na_Pi_cotrans,PF02690.15,putative-Na+/phosphate-symporter
GCA_000010525.1,BAF89006.1,Na_Pi_cotrans,PF02690.15,putative-Na+/phosphate-symporter
GCA_000010525.1,BAF86253.1,Na_sulph_symp,PF00939.19,sodium/sulphate-symporter
GCA_000010525.1,BAF90693.1,Na_sulph_symp,PF00939.19,putative-sodium/sulphate-symporter
GCA_000010525.1,BAF88616.1,NB-ARC,PF00931.22,ABC-transporter-nucleotide-binding-ATPase-protein
GCA_000010525.1,BAF88773.1,NBD_C,PF17042.5,type-III-effector-Hrp-dependent-outer-protein
GCA_000010525.1,BAF88684.1,NBD_C,PF17042.5,type-III-effector-Hrp-dependent-outer-protein
GCA_000010525.1,BAF86172.1,NBD_C,PF17042.5,hypothetical-protein-AZC_0174
GCA_000010525.1,BAF90153.1,NDK,PF00334.19,nucleoside-diphosphate-kinase
GCA_000010525.1,BAF87319.1,Ndr,PF03096.14,alpha/beta-hydrolase
GCA_000010525.1,BAF88341.1,Ndr,PF03096.14,alpha/beta-hydrolase
GCA_000010525.1,BAF87442.1,Ndr,PF03096.14,beta-ketoadipate-enol-lactone-hydrolase-protein
GCA_000010525.1,BAF89144.1,Ndr,PF03096.14,putative-hydrolase
GCA_000010525.1,BAF87206.1,NDUFA12,PF05071.16,NADH-protein
GCA_000010525.1,BAF90272.1,NfeD,PF01957.18,conserved-hypothetical-protein
GCA_000010525.1,BAF89220.1,NfrA_C,PF13283.6,TPR-repeat-protein
GCA_000010525.1,BAF90701.1,Nfu_N,PF08712.11,nitrogen-fixing-protein
GCA_000010525.1,BAF89795.1,NHase_alpha,PF02979.16,nitrile-hydratase-alpha-subunit
GCA_000010525.1,BAF89796.1,NHase_beta,PF02211.15,putative-nitrile-hydratase-beta-subunit
GCA_000010525.1,BAF89794.1,NHase_beta,PF02211.15,putative-transmembrane-nitrile-hydratase
GCA_000010525.1,BAF86693.1,NicO,PF03824.16,ABC-type-uncharacterized-transport-system-permease-component
GCA_000010525.1,BAF87753.1,Nif11,PF07862.11,hypothetical-protein-AZC_1755
GCA_000010525.1,BAF86603.1,NiFe-hyd_HybE,PF11939.8,rubredoxin
GCA_000010525.1,BAF86597.1,NiFeSe_Hases,PF00374.19,hydrogenase-large-subunit-protein
GCA_000010525.1,BAF86594.1,NiFeSe_Hases,PF00374.19,HupV-protein
GCA_000010525.1,BAF86604.1,NiFeSe_Hases,PF00374.19,hydrogenase-expression/formation-protein
GCA_000010525.1,BAF90354.1,NiFeSe_Hases,PF00374.19,NADH-ubiquinone-oxidoreductase
GCA_000010525.1,BAF86596.1,NiFe_hyd_SSU_C,PF14720.6,Ni-Fe-hydrogenase-small-subunit-protein
GCA_000010525.1,BAF86593.1,NiFe_hyd_SSU_C,PF14720.6,HupU-protein
