id,query,description,log_probability,log_probability_random,n_elements,evidence,evidence_strength
PF02518,HATPase_c,Histidine kinase-; DNA gyrase B-; and HSP90-like ATPase,-33.81942964,-43.26423023,88,4.10182478,Decisive
PF00672,HAMP,HAMP domain,-32.85756270,-41.29767431,84,3.66549390,Decisive
PF00512,HisKA,His Kinase A (phospho-acceptor) domain,-25.68749962,-33.43145063,68,3.36315519,Decisive
PF00005,ABC_tran,ABC transporter,-75.85793758,-83.57862658,170,3.35305263,Decisive
PF00126,HTH_1,Bacterial regulatory helix-turn-helix protein; lysR family,-70.49412130,-75.71240291,154,2.26627091,Decisive
PF00990,GGDEF,Diguanylate cyclase; GGDEF domain,-12.51847127,-16.71572532,34,1.82284427,Very Strong
PF07690,MFS_1,Major Facilitator Superfamily,-27.41675902,-31.46489471,64,1.75808299,Very Strong
PF00015,MCPsignal,Methyl-accepting chemotaxis protein (MCP) signalling domain,-17.43980200,-21.14047614,43,1.60718236,Very Strong
PF00004,AAA,ATPase family associated with various cellular activities (AAA),-13.64641701,-17.20736430,35,1.54649976,Very Strong
PF12146,Hydrolase_4,Serine aminopeptidase; S33,-28.93307749,-32.44817267,66,1.52658644,Very Strong
PF13450,NAD_binding_8,NAD(P)-binding Rossmann-like domain,-15.85317884,-19.17392022,39,1.44217966,Strong
PF08448,PAS_4,PAS fold,-10.57897740,-13.76589144,28,1.38405918,Strong
PF01266,DAO,FAD dependent oxidoreductase,-11.67234172,-14.74916940,30,1.33624928,Strong
PF07728,AAA_5,AAA domain (dynein-related subfamily),-10.71455561,-13.76589144,28,1.32517831,Strong
PF13304,AAA_21,AAA domain; putative AbiEii toxin; Type IV TA system,-47.58797866,-50.63881493,103,1.32496136,Strong
PF07992,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,-13.29813988,-16.22408634,33,1.27072240,Strong
PF00890,FAD_binding_2,FAD binding domain,-13.80685076,-16.71572532,34,1.26330817,Strong
PF00501,AMP-binding,AMP-binding enzyme,-5.49763038,-8.35786266,17,1.24218310,Strong
PF02954,HTH_8,Bacterial regulatory protein; Fis family,-11.04149425,-13.76589144,28,1.18319067,Strong
PF00989,PAS,PAS fold,-8.19194211,-10.81605756,22,1.13963886,Strong
PF01078,Mg_chelatase,Magnesium chelatase; subunit ChlI,-7.77502654,-10.32441858,21,1.10718690,Strong
PF00155,Aminotran_1_2,Aminotransferase class I and II,-10.31161625,-12.78261348,26,1.07314046,Strong
PF03466,LysR_substrate,LysR substrate binding domain,-34.90146123,-37.36456247,76,1.06971128,Strong
PF00158,Sigma54_activat,Sigma-54 interaction domain,-6.90146705,-9.34114062,19,1.05953677,Strong
PF00561,Abhydrolase_1,alpha/beta hydrolase fold,-15.31672050,-17.69900328,36,1.03461227,Strong
PF13193,AMP-binding_C,AMP-binding enzyme C-terminal domain,-5.04258409,-7.37458470,15,1.01277500,Strong
PF12697,Abhydrolase_6,Alpha/beta hydrolase family,-14.40710238,-16.71572532,34,1.00262220,Strong
PF00271,Helicase_C,Helicase conserved C-terminal domain,-8.59738450,-10.81605756,22,0.96355747,Substantial
PF00083,Sugar_tr,Sugar (and other) transporter,-11.57668212,-13.76589144,28,0.95076153,Substantial
PF13188,PAS_8,PAS domain,-7.69162186,-9.83277960,20,0.92989299,Substantial
PF03486,HI0933_like,HI0933-like protein,-8.72749914,-10.81605756,22,0.90704940,Substantial
PF00171,Aldedh,Aldehyde dehydrogenase family,-5.37951745,-7.37458470,15,0.86644670,Substantial
PF12833,HTH_18,Helix-turn-helix domain,-16.72628463,-18.68228124,38,0.84947853,Substantial
PF00165,HTH_AraC,Bacterial regulatory helix-turn-helix proteins; AraC family,-16.72628463,-18.68228124,38,0.84947853,Substantial
PF02743,dCache_1,Cache domain,-4.48320475,-6.39130674,13,0.82867816,Substantial
PF02538,Hydantoinase_B,Hydantoinase B/oxoprolinase,-3.99176792,-5.89966776,12,0.82859037,Substantial
PF01425,Amidase,Amidase,-8.43558265,-10.32441858,21,0.82031102,Substantial
PF00296,Bac_luciferase,Luciferase-like monooxygenase,-3.57763492,-5.40802878,11,0.79492995,Substantial
PF01614,IclR,Bacterial transcriptional regulator,-10.97276603,-12.78261348,26,0.78600676,Substantial
PF00496,SBP_bac_5,Bacterial extracellular solute-binding proteins; family 5 Middle,-11.47335286,-13.27425246,27,0.78212076,Substantial
PF13426,PAS_9,PAS domain,-5.59895537,-7.37458470,15,0.77114602,Substantial
PF13401,AAA_22,AAA domain,-6.09959686,-7.86622368,16,0.76723628,Substantial
PF14532,Sigma54_activ_2,Sigma-54 interaction domain,-3.64927193,-5.40802878,11,0.76381839,Substantial
PF13437,HlyD_3,HlyD family secretion protein,-18.92912284,-20.64883716,42,0.74686244,Substantial
PF00535,Glycos_transf_2,Glycosyl transferase family 2,-7.64202139,-9.34114062,19,0.73791810,Substantial
PF01041,DegT_DnrJ_EryC1,DegT/DnrJ/EryC1/StrS aminotransferase family,-5.19186271,-6.88294572,14,0.73442802,Substantial
PF00563,EAL,EAL domain,-5.19503133,-6.88294572,14,0.73305190,Substantial
PF01968,Hydantoinase_A,Hydantoinase/oxoprolinase,-5.22424249,-6.88294572,14,0.72036566,Substantial
PF05378,Hydant_A_N,Hydantoinase/oxoprolinase N-terminal region,-5.22424249,-6.88294572,14,0.72036566,Substantial
PF01590,GAF,GAF domain,-3.75216138,-5.40802878,11,0.71913407,Substantial
PF00702,Hydrolase,haloacid dehalogenase-like hydrolase,-13.11666245,-14.74916940,30,0.70898876,Substantial
PF16576,HlyD_D23,Barrel-sandwich domain of CusB or HlyD membrane-fusion,-18.03622266,-19.66555920,40,0.70761187,Substantial
PF08352,oligo_HPY,Oligopeptide/dipeptide transporter; C-terminal region,-14.11619303,-15.73244736,32,0.70193034,Substantial
PF13738,Pyr_redox_3,Pyridine nucleotide-disulphide oxidoreductase,-4.80709038,-6.39130674,13,0.68801642,Substantial
PF04055,Radical_SAM,Radical SAM superfamily,-6.77895716,-8.35786266,17,0.68570995,Substantial
PF00248,Aldo_ket_red,Aldo/keto reductase family,-3.42077660,-4.91638980,10,0.64953656,Substantial
PF00528,BPD_transp_1,Binding-protein-dependent transport system inner membrane component,-63.40953207,-64.89634535,132,0.64571480,Substantial
PF01979,Amidohydro_1,Amidohydrolase family,-7.39648930,-8.84950164,18,0.63103524,Substantial
PF00664,ABC_membrane,ABC transporter transmembrane region,-4.94053357,-6.39130674,13,0.63006278,Substantial
PF07536,HWE_HK,HWE histidine kinase,-2.49984721,-3.93311184,8,0.62245892,Substantial
PF00441,Acyl-CoA_dh_1,Acyl-CoA dehydrogenase; C-terminal domain,-5.45568755,-6.88294572,14,0.61985035,Substantial
PF00107,ADH_zinc_N,Zinc-binding dehydrogenase,-7.42842338,-8.84950164,18,0.61716645,Substantial
PF13191,AAA_16,AAA ATPase domain,-4.00050729,-5.40802878,11,0.61127882,Substantial
PF08240,ADH_N,Alcohol dehydrogenase GroES-like domain,-6.95626934,-8.35786266,17,0.60870424,Substantial
PF01546,Peptidase_M20,Peptidase family M20/M25/M40,-5.98459417,-7.37458470,15,0.60366522,Substantial
PF00920,ILVD_EDD,Dehydratase family,-3.56109534,-4.91638980,10,0.58859690,Substantial
PF01494,FAD_binding_3,FAD binding domain,-10.93721237,-12.29097450,25,0.58793142,Substantial
PF13384,HTH_23,Homeodomain-like domain,-7.51303953,-8.84950164,18,0.58041812,Substantial
PF13641,Glyco_tranf_2_3,Glycosyltransferase like family 2,-6.04384958,-7.37458470,15,0.57793092,Substantial
PF01053,Cys_Met_Meta_PP,Cys/Met metabolism PLP-dependent enzyme,-4.08965566,-5.40802878,11,0.57256217,Substantial
PF00384,Molybdopterin,Molybdopterin oxidoreductase,-4.10626334,-5.40802878,11,0.56534955,Substantial
PF08028,Acyl-CoA_dh_2,Acyl-CoA dehydrogenase; C-terminal domain,-4.60622009,-5.89966776,12,0.56173718,Substantial
PF02775,TPP_enzyme_C,Thiamine pyrophosphate enzyme; C-terminal TPP binding domain,-2.65444888,-3.93311184,8,0.55531627,Substantial
PF01568,Molydop_binding,Molydopterin dinucleotide binding domain,-3.14992065,-4.42475082,9,0.55365171,Substantial
PF01212,Beta_elim_lyase,Beta-eliminating lyase,-5.13163575,-6.39130674,13,0.54706816,Substantial
PF13409,GST_N_2,Glutathione S-transferase; N-terminal domain,-13.49219025,-14.74916940,30,0.54589911,Substantial
PF13555,AAA_29,P-loop containing region of AAA domain,-3.66513838,-4.91638980,10,0.54341159,Substantial
PF07687,M20_dimer,Peptidase dimerisation domain,-5.63210525,-6.88294572,14,0.54323311,Substantial
PF02771,Acyl-CoA_dh_N,Acyl-CoA dehydrogenase; N-terminal domain,-5.16005540,-6.39130674,13,0.53472566,Substantial
PF00873,ACR_tran,AcrB/AcrD/AcrF family,-4.68203779,-5.89966776,12,0.52880998,Substantial
PF00266,Aminotran_5,Aminotransferase class-V,-5.68064180,-6.88294572,14,0.52215396,Substantial
PF13417,GST_N_3,Glutathione S-transferase; N-terminal domain,-12.57418591,-13.76589144,28,0.51755113,Substantial
PF13533,Biotin_lipoyl_2,Biotin-lipoyl like,-11.10025378,-12.29097450,25,0.51712344,Substantial
PF00128,Alpha-amylase,Alpha amylase; catalytic domain,-1.76326280,-2.94983388,6,0.51532127,Substantial
PF07969,Amidohydro_3,Amidohydrolase family,-6.68216810,-7.86622368,16,0.51422880,Substantial
PF00070,Pyr_redox,Pyridine nucleotide-disulphide oxidoreductase,-5.70034847,-6.88294572,14,0.51359546,Substantial
PF01966,HD,HD domain,-2.75369638,-3.93311184,8,0.51221362,Substantial
PF13518,HTH_28,Helix-turn-helix domain,-3.73729978,-4.91638980,10,0.51207229,Substantial
PF13551,HTH_29,Winged helix-turn helix,-3.73729978,-4.91638980,10,0.51207229,Substantial
PF09339,HTH_IclR,IclR helix-turn-helix domain,-17.51636459,-18.68228124,38,0.50635117,Substantial
PF00795,CN_hydrolase,Carbon-nitrogen hydrolase,-3.26894425,-4.42475082,9,0.50196042,Substantial
PF02738,Ald_Xan_dh_C2,Molybdopterin-binding domain of aldehyde dehydrogenase,-2.78217837,-3.93311184,8,0.49984405,Weak
PF02770,Acyl-CoA_dh_M,Acyl-CoA dehydrogenase; middle domain,-4.25803478,-5.40802878,11,0.49943605,Weak
PF05199,GMC_oxred_C,GMC oxidoreductase,-2.79070478,-3.93311184,8,0.49614108,Weak
PF00732,GMC_oxred_N,GMC oxidoreductase,-2.79070478,-3.93311184,8,0.49614108,Weak
PF08447,PAS_3,PAS fold,-3.29342966,-4.42475082,9,0.49132654,Weak
PF00701,DHDPS,Dihydrodipicolinate synthetase family,-3.33706622,-4.42475082,9,0.47237542,Weak
PF13602,ADH_zinc_N_2,Zinc-binding dehydrogenase,-5.30951727,-6.39130674,13,0.46981520,Weak
PF03176,MMPL,MMPL family,-4.34710725,-5.40802878,11,0.46075237,Weak
PF02798,GST_N,Glutathione S-transferase; N-terminal domain,-10.73950423,-11.79933552,24,0.46027888,Weak
PF07568,HisKA_2,Histidine kinase,-1.90289121,-2.94983388,6,0.45468142,Weak
PF01019,G_glu_transpept,Gamma-glutamyltranspeptidase,-2.88710506,-3.93311184,8,0.45427497,Weak
PF02913,FAD-oxidase_C,FAD linked oxidases; C-terminal domain,-1.91986087,-2.94983388,6,0.44731159,Weak
PF13454,NAD_binding_9,FAD-NAD(P)-binding,-3.89142740,-4.91638980,10,0.44513551,Weak
PF12831,FAD_oxidored,FAD dependent oxidoreductase,-4.91848729,-5.89966776,12,0.42612126,Weak
PF08402,TOBE_2,TOBE domain,-4.92672045,-5.89966776,12,0.42254565,Weak
PF00133,tRNA-synt_1,tRNA synthetases class I (I; L; M and V),-1.51119693,-2.45819490,5,0.41127599,Weak
PF09334,tRNA-synt_1g,tRNA synthetases class I (M),-1.51119693,-2.45819490,5,0.41127599,Weak
PF01073,3Beta_HSD,3-beta hydroxysteroid dehydrogenase/isomerase family,-5.45139545,-6.39130674,13,0.40819829,Weak
PF01134,GIDA,Glucose inhibited division protein A,-4.97601225,-5.89966776,12,0.40113849,Weak
PF01571,GCV_T,Aminomethyltransferase folate-binding domain,-2.03731643,-2.94983388,6,0.39630129,Weak
PF14501,HATPase_c_5,GHKL domain,-3.03686889,-3.93311184,8,0.38923337,Weak
PF14579,HHH_6,Helix-hairpin-helix motif,-1.07068890,-1.96655592,4,0.38907010,Weak
PF00905,Transpeptidase,Penicillin binding protein transpeptidase domain,-1.07115052,-1.96655592,4,0.38886962,Weak
PF00291,PALP,Pyridoxal-phosphate dependent enzyme,-3.03981790,-3.93311184,8,0.38795263,Weak
PF02826,2-Hacid_dh_C,D-isomer specific 2-hydroxyacid dehydrogenase; NAD binding domain,-7.46948199,-8.35786266,17,0.38581882,Weak
PF13379,NMT1_2,NMT1-like family,-9.94622606,-10.81605756,22,0.37776302,Weak
PF07724,AAA_2,AAA domain (Cdc48 subfamily),-2.57472093,-3.44147286,7,0.37642558,Weak
PF00202,Aminotran_3,Aminotransferase class-III,-2.08649761,-2.94983388,6,0.37494218,Weak
PF07993,NAD_binding_4,Male sterility protein,-5.03872255,-5.89966776,12,0.37390375,Weak
PF02786,CPSase_L_D2,Carbamoyl-phosphate synthase L chain; ATP binding domain,-2.10637344,-2.94983388,6,0.36631021,Weak
PF09084,NMT1,NMT1/THI5 like,-12.93286850,-13.76589144,28,0.36177726,Weak
PF00682,HMGL-like,HMGL-like,-3.10543113,-3.93311184,8,0.35945717,Weak
PF08669,GCV_T_C,Glycine cleavage T-protein C-terminal barrel domain,-1.64446959,-2.45819490,5,0.35339641,Weak
PF00175,NAD_binding_1,Oxidoreductase NAD-binding domain,-3.61455400,-4.42475082,9,0.35186401,Weak
PF02653,BPD_transp_2,Branched-chain amino acid transport system / permease component,-16.89191265,-17.69900328,36,0.35051500,Weak
PF03446,NAD_binding_2,NAD binding domain of 6-phosphogluconate dehydrogenase,-9.52959311,-10.32441858,21,0.34518831,Weak
PF02355,SecD_SecF,Protein export membrane protein,-3.14444286,-3.93311184,8,0.34251459,Weak
PF00326,Peptidase_S9,Prolyl oligopeptidase family,-5.60384254,-6.39130674,13,0.34199136,Weak
